ticker,qtd_registros_treino,fl_success
ABEV3.SA,2480,1
ALPA4.SA,2480,1
AMER3.SA,2480,1
ARZZ3.SA,2212,1
ASAI3.SA,,0
AZUL4.SA,680,1
B3SA3.SA,2478,1
BBAS3.SA,2480,1
BBDC3.SA,2480,1
BBDC4.SA,2480,1
BBSE3.SA,1660,1
BEEF3.SA,2480,1
BPAC11.SA,710,1
BPAN4.SA,2480,1
BRAP4.SA,2480,1
BRFS3.SA,2480,1
BRKM5.SA,2480,1
BRML3.SA,2480,1
CASH3.SA,,0
CCRO3.SA,2480,1
CIEL3.SA,2480,1
CMIG4.SA,2480,1
CMIN3.SA,,0
COGN3.SA,1936,1
CPFE3.SA,2480,1
CPLE6.SA,2480,1
CRFB3.SA,611,1
CSAN3.SA,2480,1
CSNA3.SA,2480,1
CVCB3.SA,1505,1
CYRE3.SA,2480,1
DXCO3.SA,2480,1
ECOR3.SA,2420,1
EGIE3.SA,2480,1
ELET3.SA,2480,1
ELET6.SA,2480,1
EMBR3.SA,2480,1
ENBR3.SA,2480,1
ENEV3.SA,2480,1
ENGI11.SA,2480,1
EQTL3.SA,2480,1
EZTC3.SA,2480,1
FLRY3.SA,2480,1
GGBR4.SA,2480,1
GOAU4.SA,2480,1
GOLL4.SA,2480,1
HAPV3.SA,415,1
HYPE3.SA,2480,1
IGTI11.SA,,0
IRBR3.SA,604,1
ITSA4.SA,2480,1
ITUB4.SA,2480,1
JBSS3.SA,2480,1
KLBN11.SA,1476,1
LREN3.SA,2480,1
LWSA3.SA,,0
MGLU3.SA,2153,1
MRFG3.SA,2480,1
MRVE3.SA,2480,1
MULT3.SA,2480,1
NTCO3.SA,7,1
PCAR3.SA,2480,1
PETR3.SA,2480,1
PETR4.SA,2480,1
PETZ3.SA,,0
POSI3.SA,2480,1
PRIO3.SA,2279,1
QUAL3.SA,2112,1
RADL3.SA,2480,1
RAIL3.SA,1181,1
RAIZ4.SA,,0
RDOR3.SA,,0
RENT3.SA,2480,1
RRRP3.SA,,0
SANB11.SA,2480,1
SBSP3.SA,2480,1
SLCE3.SA,2480,1
SMTO3.SA,2480,1
SOMA3.SA,,0
SULA11.SA,2480,1
SUZB3.SA,2480,1
TAEE11.SA,2480,1
TIMS3.SA,2480,1
TOTS3.SA,2480,1
UGPA3.SA,2480,1
USIM5.SA,2480,1
VALE3.SA,2480,1
VBBR3.SA,445,1
VIIA3.SA,2480,1
VIVT3.SA,2480,1
WEGE3.SA,2480,1
YDUQ3.SA,2480,1
